flow_id,stime_ms,src_ip,dst_ip,protocol,src_port,dst_port,application,vlan,protocol_name
533867087,1631290542749,192.168.50.50,8.8.8.8,17,55155,53,0,0,UDP
2278762057,1631290543348,192.168.51.205,192.5.5.241,17,34687,53,0,0,UDP
1084238359,1631290543353,192.168.50.106,8.8.8.8,17,34817,53,0,0,UDP
686107159,1631290543356,192.168.50.106,8.8.8.8,17,57412,53,0,0,UDP
3642934706,1631290544146,192.168.51.205,192.203.230.10,17,55616,53,0,0,UDP
505226466,1631290536198,192.168.60.159,8.8.8.8,17,54972,53,0,0,UDP
2196644796,1631290544946,192.168.51.205,198.41.0.4,17,33902,53,0,0,UDP
4198050383,1631290545295,192.168.50.50,8.8.8.8,17,12952,53,0,0,UDP
2909416015,1631290545299,192.168.50.50,8.8.8.8,17,26059,53,0,0,UDP
2943553595,1631290545352,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,43443,10002,0,0,UDP
2832470075,1631290545353,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,44564,10002,0,0,UDP
3552055355,1631290545355,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,54648,10002,0,0,UDP
4070832825,1631290545357,192.168.50.20,255.255.255.255,17,52725,10002,0,0,UDP
2898923579,1631290545356,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,43530,10002,0,0,UDP
3991801915,1631290545358,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,60206,10002,0,0,UDP
3799781435,1631290545359,fe80::b6fb:e4ff:fe5e:25f8,ff02::0001,17,58556,10002,0,0,UDP
3302990758,1631290545746,192.168.51.205,192.58.128.30,17,50252,53,0,0,UDP
3561689299,1631290545863,192.168.60.107,192.168.60.205,17,54346,53,0,0,UDP
2881759823,1631290545934,192.168.50.50,8.8.8.8,17,25445,53,0,0,UDP
68102735,1631290545934,192.168.50.50,8.8.8.8,17,52398,53,0,0,UDP
4093583014,1631290538239,192.168.60.183,192.168.50.100,17,62462,53,0,0,UDP
3831635622,1631290538428,192.168.60.183,192.168.50.100,17,58467,53,0,0,UDP
2364680783,1631290546553,192.168.50.50,8.8.8.8,17,17491,53,0,0,UDP
2267228751,1631290546553,192.168.50.50,8.8.8.8,17,20354,53,0,0,UDP
1218389167,1631290537121,192.168.60.210,8.8.8.8,17,32830,53,0,0,UDP
485173783,1631290548362,192.168.50.106,8.8.8.8,17,54346,53,0,0,UDP
1788684823,1631290548365,192.168.50.106,8.8.8.8,17,41532,53,0,0,UDP
2401969084,1631290548568,192.168.51.205,198.41.0.4,17,35243,53,0,0,UDP
328999609,1631290548565,192.168.51.205,1.1.1.1,17,53812,53,0,0,UDP
1742873273,1631290548566,192.168.51.205,1.1.1.1,17,42570,53,0,0,UDP
2581925937,1631290548560,192.168.51.137,192.168.51.205,17,39396,53,0,0,UDP
3020732329,1631290549370,192.168.51.205,192.36.148.17,17,46209,53,0,0,UDP
3113889137,1631290550166,192.168.51.205,199.9.14.201,17,48698,53,0,0,UDP
3986165975,1631290550583,192.168.60.111,192.168.60.205,17,60825,53,0,0,UDP
2941136185,1631290550967,192.168.51.205,193.0.14.129,17,44775,53,0,0,UDP
